eyeHandDiff,eyes,afterEffect,subjectN,groups
-33.8418739237493,-26.8205000492457,5.81078767893084,1,1
3.78081750621834,-27.8799493981664,-4.09239617419069,1,1
-9.5215929920914,-34.0995068031821,0.623153054631993,1,1
-21.2651911411377,-36.7741016650416,14.1703199757059,1,1
-28.191371203606,-31.6062717742607,-1.62917824895898,1,1
-12.096413658858,-23.509840532494,5.26699734917178,1,1
-23.2660908998853,-24.0775619906078,32.2795924621152,1,1
-11.6855492167972,-30.9223284347033,-3.59482363839812,1,1
-19.085228253097,-31.22337889973,4.15152280456203,1,1
-7.72284222948998,-19.1031006226638,6.83141649351786,1,1
-16.866670823828,-6.02302542934392,9.70520550085743,1,1
-28.2587179016267,-7.89800550295542,-2.77535949016232,1,1
-14.5555848023875,-25.0814657823111,-19.4985935053767,1,1
-19.7598915523224,-37.0981957695648,-15.2797184371296,1,1
8.12405825815224,-34.7097449444728,-2.80771221132244,1,1
-17.5427662228355,-20.8593570278561,5.40661983651565,1,1
-30.7145677767799,-6.21154910283086,-5.41702063765311,1,1
-9.50853296262388,-8.94100571781357,0.956440101237628,1,1
-24.1854971047978,-17.5088494297316,14.8572624289606,1,1
-31.2675640562567,-15.8496987257076,-0.335516747031886,1,1
-38.2804649431856,-20.7165730804472,-3.48123204143473,2,1
-31.545792065785,-20.2549842846719,-22.8930036229734,2,1
-26.4651375641438,-15.563471041746,-31.5960469057425,2,1
-43.3618253979521,-12.6122456560036,-20.3275998556676,2,1
-23.7037030398777,-14.0113007011279,-23.0652803356452,2,1
-8.5488764694535,-14.3131615471694,-28.9987400423387,2,1
-5.34464924155421,-13.6505212786913,-6.52747959801607,2,1
-23.4278481950124,-12.3112322957561,-23.8403028924757,2,1
-35.9326764908793,-6.86778068284406,-20.2601667328939,2,1
-10.567211662076,-2.77803150497403,-8.70375511583471,2,1
-7.4515396350287,-7.05482580229852,-4.11152829886109,2,1
-10.5508297919128,-15.2175203363135,-30.9425800238108,2,1
0.924057748038873,-21.7303924292722,-5.08210783076431,2,1
-21.7583089388765,-21.3220670196776,-21.3024116711722,2,1
-27.3780433327245,-13.2575632874202,-15.2906209052897,2,1
-10.6870441055611,-6.57307414463762,-18.8908000219795,2,1
-28.3246034630594,-10.0027594032115,-18.4613418090154,2,1
-5.00946084683054,-15.2856188079393,-9.69476105327352,2,1
-24.2734415541588,-14.4575072976942,-2.19793117717768,2,1
-21.7138208600207,-11.2987099697952,-15.6647017758396,2,1
-5.28613643322624,-7.05093188779623,-6.09576251011031,3,1
-63.7867104518208,-12.1419079768709,-32.9253107171477,3,1
-37.0382584387435,-5.44701184363866,-4.55720261399725,3,1
-9.83277655892896,16.6043690248439,5.82750750763519,3,1
-76.8373938959006,44.7119785503653,-4.28242473300365,3,1
-69.8236885921634,68.8926608438159,1.41551957948462,3,1
-107.013979858646,70.0759755596924,13.2386622590208,3,1
-82.8208628820065,46.4723810304924,3.41233084940177,3,1
-25.0533607774827,18.4599710369954,12.2616543605311,3,1
-38.1919463432489,0.856583285968181,7.97881621638045,3,1
-23.4340160261921,-8.11649997525689,11.3562650333169,3,1
3.66550216814146,-3.2942059796586,5.63271164596488,3,1
-41.1184092995606,10.6936227693199,18.4678780415721,3,1
-49.1287320808853,14.0899963265831,3.86764257139103,3,1
-30.0465990153526,7.30598089833791,-3.56550975426232,3,1
-11.1382275497572,-8.41399891487552,6.4591998194269,3,1
-18.4396206222844,-14.1526353974371,4.80921938718454,3,1
-33.5653687506526,6.6443225096847,8.76581495763788,3,1
-64.6484370168421,28.8902843460649,-16.9806006729203,3,1
-71.5633298848803,34.7848929179684,-2.00760932608102,3,1
2.34091294948269,-16.5485587515076,-1.75281719273975,4,1
-23.5504219289876,-14.0510339451899,5.77130449472261,4,1
-23.3217075766764,-9.62945038192212,6.32965130526906,4,1
-33.6079137155879,-3.78088907388402,6.3763936303481,4,1
-15.5475237061285,0.771070296571772,5.52006911397278,4,1
-27.3722918219876,-0.308276481455869,-1.11354105515533,4,1
-33.4610903202508,-3.50911913452036,5.73780658304243,4,1
-19.4292537186729,-6.87726472524123,3.3341170934925,4,1
-14.6260337741028,-10.9051323085174,-2.06899804901501,4,1
-18.0233798577952,-11.2622949545222,3.11895312897221,4,1
-12.4761469871561,-8.41061038793535,3.72370469108477,4,1
-24.5998952544266,-7.59476184934176,3.78583024044657,4,1
-22.6590895005383,-8.08745688337274,0.0908960764969866,4,1
-21.0785806115022,-6.07709394402194,4.67796131271179,4,1
-28.8212769704341,-3.49475778616281,-2.13001816239041,4,1
-25.7710988967169,-3.92884927416566,5.89835495388064,4,1
-26.2065219616457,-7.09155852328845,3.02998177674249,4,1
-20.2055979472274,-9.77121117446843,-1.70937454457712,4,1
-25.0326284832238,-9.40256893742692,-0.864175107444686,4,1
-27.1537197410994,-3.16996634444371,2.27356857478552,4,1
5.3464315273354,-21.4810107397222,-17.9198558093875,5,1
18.5199469086208,-46.7859877429449,-8.45181845750419,5,1
40.3193530150167,-64.1828490036575,-14.5471577805989,5,1
69.9642948383095,-71.8211764023661,-5.51598401280202,5,1
62.4774029917264,-75.6652615280245,-8.234658702405,5,1
